Number Valid Tracks,0,0,0,0,0,0,0,0,0,5.08,11.65,15.59,17.5,18.67,19.01,19.11,19.22,19.24,19.23,19.25,19.37,19.41,19.39,19.39,19.48,19.5,19.59,19.59,19.6,19.57,19.61,19.58,19.55,19.48,19.49,19.45,19.51,19.49,19.53,19.56,19.54,19.51,19.55,19.56,19.54,19.55,19.51,19.53,19.54,19.53,19.52,19.54,19.55,19.58,19.59,19.58,19.58,19.51,19.51,19.53,19.53,19.54,19.59,19.61,19.64,19.58,19.6,19.62,19.59,19.55,19.55,19.6,19.53,19.5,19.5,19.53,19.54,19.51,19.51,19.51,19.43,19.45,19.47,19.48,19.5,19.52,19.46,19.51,19.53,19.56,19.56,19.57,19.57,19.53,19.56,19.59,19.59,19.59,19.57,19.6,19.58
Number False Tracks,0,0,0,0,0,0,0,0,0,0.03,0.08,0.08,0.11,0.12,0.17,0.21,0.11,0.12,0.11,0.17,0.17,0.18,0.24,0.25,0.19,0.19,0.1,0.12,0.12,0.14,0.15,0.22,0.22,0.28,0.26,0.29,0.25,0.24,0.18,0.13,0.16,0.19,0.19,0.18,0.21,0.19,0.26,0.27,0.25,0.28,0.3,0.28,0.27,0.25,0.23,0.24,0.21,0.28,0.28,0.27,0.29,0.3,0.29,0.26,0.23,0.27,0.25,0.22,0.24,0.28,0.32,0.27,0.35,0.38,0.38,0.38,0.36,0.39,0.39,0.42,0.49,0.45,0.43,0.41,0.39,0.36,0.44,0.4,0.39,0.39,0.39,0.37,0.37,0.39,0.38,0.3,0.29,0.3,0.33,0.32,0.35
Number Missed Targets,20,20,20,20,20,20,20,20,20,14.9,8.33,4.39,2.5,1.33,0.99,0.89,0.76,0.74,0.75,0.73,0.61,0.57,0.59,0.59,0.52,0.48,0.39,0.41,0.4,0.43,0.39,0.42,0.45,0.5,0.49,0.53,0.49,0.51,0.47,0.44,0.44,0.47,0.45,0.44,0.46,0.45,0.49,0.47,0.46,0.47,0.48,0.46,0.45,0.42,0.41,0.42,0.42,0.49,0.49,0.47,0.47,0.46,0.41,0.39,0.36,0.42,0.4,0.38,0.41,0.43,0.45,0.4,0.47,0.5,0.5,0.47,0.46,0.49,0.49,0.49,0.57,0.55,0.53,0.52,0.5,0.48,0.54,0.49,0.47,0.44,0.44,0.43,0.43,0.47,0.44,0.41,0.41,0.41,0.43,0.4,0.42
Number Spurious Tracks,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
Measure of Completeness,0,0,0,0,0,0,0,0,0,0.254,0.5825,0.7795,0.875,0.9335,0.9505,0.9555,0.961,0.962,0.9615,0.9625,0.9685,0.9705,0.9695,0.9695,0.974,0.975,0.9795,0.9795,0.98,0.9785,0.9805,0.979,0.9775,0.974,0.9745,0.9725,0.9755,0.9745,0.9765,0.978,0.977,0.9755,0.9775,0.978,0.977,0.9775,0.9755,0.9765,0.977,0.9765,0.976,0.977,0.9775,0.979,0.9795,0.979,0.979,0.9755,0.9755,0.9765,0.9765,0.977,0.9795,0.9805,0.982,0.979,0.98,0.981,0.9795,0.9775,0.9775,0.98,0.9765,0.975,0.975,0.9765,0.977,0.9755,0.9755,0.9755,0.9715,0.9725,0.9735,0.974,0.975,0.976,0.973,0.9755,0.9765,0.978,0.978,0.9785,0.9785,0.9765,0.978,0.9795,0.9795,0.9795,0.9785,0.98,0.979
Number of Good Tracks,0,0,0,0,0,0,0,0,0,5.12,11.74,15.68,17.61,18.79,19.18,19.32,19.34,19.37,19.35,19.43,19.55,19.6,19.64,19.65,19.67,19.7,19.7,19.71,19.72,19.71,19.76,19.8,19.77,19.77,19.76,19.75,19.76,19.73,19.71,19.69,19.71,19.71,19.74,19.74,19.75,19.74,19.77,19.8,19.79,19.81,19.82,19.82,19.82,19.83,19.82,19.82,19.79,19.79,19.79,19.8,19.82,19.84,19.88,19.87,19.87,19.85,19.85,19.84,19.83,19.84,19.87,19.87,19.88,19.88,19.88,19.91,19.9,19.9,19.9,19.93,19.92,19.9,19.9,19.89,19.89,19.88,19.9,19.91,19.92,19.95,19.95,19.94,19.94,19.92,19.94,19.89,19.88,19.89,19.9,19.92,19.93
Number of Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Number Tracks,0,0,0,0,0,0,0,0,0,6.88,14.04,17.48,18.91,19.44,19.58,19.61,19.57,19.6,19.57,19.63,19.75,19.82,19.93,19.95,19.98,20.02,20.01,20.04,20.04,20.03,20.1,20.12,20.1,20.09,20.11,20.11,20.12,20.09,20.07,20.08,20.12,20.14,20.17,20.19,20.21,20.22,20.23,20.26,20.27,20.28,20.26,20.26,20.28,20.28,20.27,20.27,20.25,20.25,20.26,20.27,20.29,20.31,20.33,20.32,20.31,20.3,20.3,20.28,20.28,20.29,20.32,20.32,20.32,20.33,20.32,20.35,20.34,20.36,20.37,20.39,20.38,20.36,20.35,20.34,20.35,20.34,20.38,20.39,20.4,20.43,20.43,20.4,20.4,20.39,20.39,20.33,20.32,20.34,20.36,20.38,20.4
Total Number Tracks,0,0,0,0,0,0,0,0,0,11,17,18,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21
Average Euclidean Error,0,0,0,0,0,0,0,0,0,0.000461447,0.000733179,0.000847777,0.000915285,0.000956248,0.000959242,0.00094669,0.000971426,0.000973067,0.00096681,0.000956073,0.000960387,0.000960403,0.000943264,0.000935321,0.000927775,0.000939489,0.000953716,0.000945982,0.000944779,0.000927031,0.000946204,0.000934896,0.000939341,0.000935088,0.000923938,0.000916634,0.000932746,0.000918513,0.000915038,0.000929229,0.000908534,0.000907827,0.000904429,0.000900284,0.00091191,0.000919591,0.000899481,0.000902186,0.000908623,0.000905937,0.00092256,0.0009114,0.000908926,0.00090695,0.000918262,0.000905097,0.000912387,0.00090055,0.000903515,0.000919413,0.000915827,0.000892984,0.000898414,0.000911931,0.000903912,0.000884925,0.000893304,0.000898504,0.000891619,0.000897714,0.000892509,0.000901982,0.00089973,0.000889334,0.000890955,0.000906919,0.000909173,0.000903454,0.000908198,0.000908852,0.000868309,0.000886546,0.000904046,0.000891555,0.000894943,0.000913811,0.000898229,0.000887393,0.00089584,0.000902774,0.000894356,0.000895685,0.00089974,0.000880147,0.000870071,0.000885454,0.000894967,0.000887271,0.000873276,0.000875935,0.000871142
Track Probability of Detection ,0.874391
Total Average Euclidean Error ,0.000824422
Total Average number of Tracks ,21
