Number Valid Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,1.5,3.4,5.5,7.7,9.6,10.7,11,11.5,11.9,12,12,12.2,12.2,12.3,12.4,12.8,12.8,12.9,13,13.1,13.1,13.1,13.4,13.5,13.5,13.4,13.4,13.3,13.3,13.2,13.2,13.3,13.2,13.4,13.5,13.6,13.6,13.5,13.6,13.6,13.6,13.6,13.7,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.9,13.9,13.9,13.9,14,13.9,14,14.1,14,14.1,14.1,14,14,14.1,14.2,14.2,14.2,14.2,14.1,14.3,14.3,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4
Number False Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Number Missed Targets,20,20,20,20,20,20,20,20,20,20,20,20,19.8,19.8,19.9,19.9,19.4,18.5,16.6,14.5,12.3,10.4,9.3,9,8.5,8.1,8,8,7.8,7.8,7.7,7.6,7.2,7.2,7.1,7,6.9,6.9,6.9,6.6,6.5,6.5,6.6,6.6,6.7,6.7,6.8,6.8,6.7,6.8,6.6,6.5,6.4,6.4,6.5,6.4,6.4,6.4,6.4,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6,6.1,6,5.9,6,5.9,5.9,6,6,5.9,5.8,5.8,5.8,5.8,5.9,5.7,5.7,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6
Number Spurious Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
Measure of Completeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0.03,0.075,0.17,0.275,0.385,0.48,0.535,0.55,0.575,0.595,0.6,0.6,0.61,0.61,0.615,0.62,0.64,0.64,0.645,0.65,0.655,0.655,0.655,0.67,0.675,0.675,0.67,0.67,0.665,0.665,0.66,0.66,0.665,0.66,0.67,0.675,0.68,0.68,0.675,0.68,0.68,0.68,0.68,0.685,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.695,0.695,0.695,0.695,0.7,0.695,0.7,0.705,0.7,0.705,0.705,0.7,0.7,0.705,0.71,0.71,0.71,0.71,0.705,0.715,0.715,0.72,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.72,0.72,0.72
Number of Good Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.6,1.5,3.4,5.5,7.7,9.6,10.7,11,11.5,11.9,12,12,12.2,12.2,12.4,12.5,12.8,12.8,12.9,13,13.1,13.1,13.1,13.4,13.5,13.5,13.4,13.4,13.3,13.3,13.2,13.2,13.3,13.2,13.4,13.5,13.6,13.6,13.5,13.6,13.6,13.6,13.6,13.7,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.9,13.9,13.9,14,14,13.9,14,14.1,14.1,14.1,14.1,14,14,14.1,14.2,14.2,14.2,14.2,14.2,14.3,14.4,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4
Number of Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Number Tracks,0,0,0,0,0,0,0,0,0,2,5.2,8.3,10,11.1,11.5,12.3,12.8,13,13,13,13.3,13.3,13.5,13.8,14.3,14.6,14.7,15,15.1,15.3,15.5,15.7,15.8,15.8,15.9,15.9,16,16.4,16.4,16.5,16.8,16.8,16.8,17.2,17.3,17.7,17.8,17.8,17.8,17.8,17.8,18,18,18,18,18,18,18,18.1,18.1,18.1,18.2,18.2,18.3,18.3,18.3,18.3,18.4,18.4,18.4,18.4,18.4,18.5,18.5,18.5,18.6,18.7,18.7,18.7,18.8,18.8,18.8,18.8,18.8,18.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,19,19,19,19,19,19,19,19
Total Number Tracks,0,0,0,0,0,0,0,0,0,1,3,5,6,8,9,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Average Euclidean Error,0,0,0,0,0,0,0,0,0,0,0,0,8.0397e-05,7.58745e-05,1.36416e-05,1.65066e-05,8.91005e-05,0.00016439,0.000351641,0.000504433,0.00060555,0.000719859,0.00077626,0.000738144,0.000762932,0.000770219,0.000748519,0.000754619,0.000764914,0.000731012,0.000796494,0.000838144,0.000809563,0.000761078,0.000740829,0.000748821,0.000758858,0.000753603,0.000742036,0.000790857,0.000783639,0.000743911,0.000780986,0.000757446,0.000781133,0.000781324,0.000791623,0.000748805,0.000770132,0.000719917,0.000743949,0.000786512,0.000804253,0.000807415,0.000740167,0.000792643,0.000803002,0.000757388,0.00078491,0.000807906,0.00076192,0.000776881,0.000856421,0.000760031,0.000831792,0.00076802,0.000795265,0.000776591,0.000780651,0.000767406,0.000807336,0.000818106,0.000831549,0.000781585,0.000794921,0.00080255,0.000788695,0.000776403,0.000795543,0.000799284,0.00077426,0.000778517,0.000774749,0.000773497,0.000780039,0.000770724,0.000780941,0.000825144,0.000821321,0.000792667,0.000866682,0.000798132,0.000765478,0.00080097,0.000812441,0.00083545,0.000856691,0.000830088,0.000828299,0.000821673,0.000821085
Track Probability of Detection ,0.544752
Total Average Euclidean Error ,0.000640348
Total Average number of Tracks ,17
